-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (45816, 16, 250) Train Lable: (45816, 1)
Test Data: (1824, 16, 250) Test Lable: (1824, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 24732
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 22908
Number of 'non sick' samples: 24732
Maximum Value in Data Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.4895857660592988
Standard Daviation in Data Set: 0.07561770584016739
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 22908
Number of 'non sick' samples: 22908
Maximum Value in Training Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.48845966540634095
Standard Daviation in Data Set: 0.07650526931912283
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 0
Number of 'non sick' samples: 1824
Maximum Value in Testing Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.5178716364079491
Standard Daviation in Data Set: 0.03866051271609326
epoch: 45, lr: 0.01, accuracy: tensor(0.5481, device='cuda:0'), loss: 0.7188815474510193, valid accuracy: tensor(0.9912, device='cuda:0')
epoch: 46, lr: 0.01, accuracy: tensor(0.5606, device='cuda:0'), loss: 0.6777390837669373, valid accuracy: tensor(0.4857, device='cuda:0')
epoch: 47, lr: 0.01, accuracy: tensor(0.5796, device='cuda:0'), loss: 0.6879475712776184, valid accuracy: tensor(0., device='cuda:0')
epoch: 48, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.8426621556282043, valid accuracy: tensor(0., device='cuda:0')
epoch: 49, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.7838396430015564, valid accuracy: tensor(0., device='cuda:0')
epoch: 50, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.7899554371833801, valid accuracy: tensor(0., device='cuda:0')
epoch: 51, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.810772716999054, valid accuracy: tensor(0., device='cuda:0')
epoch: 52, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.8156250715255737, valid accuracy: tensor(0., device='cuda:0')
epoch: 53, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.8057189583778381, valid accuracy: tensor(0., device='cuda:0')
epoch: 54, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.8438310027122498, valid accuracy: tensor(0., device='cuda:0')
epoch: 55, lr: 0.01, accuracy: tensor(0.5099, device='cuda:0'), loss: 0.6867883801460266, valid accuracy: tensor(0.9644, device='cuda:0')
epoch: 56, lr: 0.01, accuracy: tensor(0.5150, device='cuda:0'), loss: 0.687512993812561, valid accuracy: tensor(0., device='cuda:0')
epoch: 57, lr: 0.01, accuracy: tensor(0.5173, device='cuda:0'), loss: 0.6833522319793701, valid accuracy: tensor(0.0192, device='cuda:0')
epoch: 58, lr: 0.01, accuracy: tensor(0.5491, device='cuda:0'), loss: 0.6741315722465515, valid accuracy: tensor(0.1371, device='cuda:0')
epoch: 59, lr: 0.01, accuracy: tensor(0.5775, device='cuda:0'), loss: 0.663150429725647, valid accuracy: tensor(0.6601, device='cuda:0')
epoch: 60, lr: 0.01, accuracy: tensor(0.5803, device='cuda:0'), loss: 0.6753291487693787, valid accuracy: tensor(0.9435, device='cuda:0')
epoch: 61, lr: 0.01, accuracy: tensor(0.5915, device='cuda:0'), loss: 0.7276690006256104, valid accuracy: tensor(0.9940, device='cuda:0')
epoch: 62, lr: 0.01, accuracy: tensor(0.5607, device='cuda:0'), loss: 0.673295795917511, valid accuracy: tensor(0.9901, device='cuda:0')
epoch: 63, lr: 0.01, accuracy: tensor(0.5991, device='cuda:0'), loss: 0.652667224407196, valid accuracy: tensor(0.0795, device='cuda:0')
epoch: 64, lr: 0.01, accuracy: tensor(0.6056, device='cuda:0'), loss: 0.6562438011169434, valid accuracy: tensor(0.0768, device='cuda:0')
epoch: 65, lr: 0.01, accuracy: tensor(0.6140, device='cuda:0'), loss: 0.6450640559196472, valid accuracy: tensor(0.0044, device='cuda:0')
epoch: 66, lr: 0.01, accuracy: tensor(0.5931, device='cuda:0'), loss: 0.6515545845031738, valid accuracy: tensor(0.3421, device='cuda:0')
epoch: 67, lr: 0.01, accuracy: tensor(0.5986, device='cuda:0'), loss: 0.6961400508880615, valid accuracy: tensor(0.3196, device='cuda:0')
epoch: 68, lr: 0.01, accuracy: tensor(0.6153, device='cuda:0'), loss: 0.6543847918510437, valid accuracy: tensor(0.2643, device='cuda:0')
epoch: 69, lr: 0.01, accuracy: tensor(0.5828, device='cuda:0'), loss: 0.6586597561836243, valid accuracy: tensor(0.0077, device='cuda:0')
epoch: 70, lr: 0.01, accuracy: tensor(0.6084, device='cuda:0'), loss: 0.6523038744926453, valid accuracy: tensor(0.3268, device='cuda:0')
epoch: 71, lr: 0.01, accuracy: tensor(0.6314, device='cuda:0'), loss: 0.634831964969635, valid accuracy: tensor(0.0488, device='cuda:0')
epoch: 72, lr: 0.01, accuracy: tensor(0.6065, device='cuda:0'), loss: 0.6498608589172363, valid accuracy: tensor(0.0055, device='cuda:0')
epoch: 73, lr: 0.01, accuracy: tensor(0.6185, device='cuda:0'), loss: 0.6528615951538086, valid accuracy: tensor(0.6398, device='cuda:0')
epoch: 74, lr: 0.01, accuracy: tensor(0.6327, device='cuda:0'), loss: 0.6203691363334656, valid accuracy: tensor(0.0181, device='cuda:0')
epoch: 75, lr: 0.01, accuracy: tensor(0.6245, device='cuda:0'), loss: 0.6487034559249878, valid accuracy: tensor(0.2484, device='cuda:0')
epoch: 76, lr: 0.01, accuracy: tensor(0.6261, device='cuda:0'), loss: 0.6544464230537415, valid accuracy: tensor(0.5033, device='cuda:0')
epoch: 77, lr: 0.01, accuracy: tensor(0.6384, device='cuda:0'), loss: 0.6442880034446716, valid accuracy: tensor(0.1409, device='cuda:0')
epoch: 78, lr: 0.01, accuracy: tensor(0.6414, device='cuda:0'), loss: 0.6400589346885681, valid accuracy: tensor(0.4090, device='cuda:0')
epoch: 79, lr: 0.01, accuracy: tensor(0.6334, device='cuda:0'), loss: 0.6364781856536865, valid accuracy: tensor(0.0450, device='cuda:0')
epoch: 80, lr: 0.01, accuracy: tensor(0.6323, device='cuda:0'), loss: 0.6517495512962341, valid accuracy: tensor(0.0373, device='cuda:0')
epoch: 81, lr: 0.01, accuracy: tensor(0.6329, device='cuda:0'), loss: 0.6362828016281128, valid accuracy: tensor(0.2549, device='cuda:0')
epoch: 82, lr: 0.01, accuracy: tensor(0.6311, device='cuda:0'), loss: 0.644461452960968, valid accuracy: tensor(0.0789, device='cuda:0')
epoch: 83, lr: 0.01, accuracy: tensor(0.6395, device='cuda:0'), loss: 0.6420691013336182, valid accuracy: tensor(0.2845, device='cuda:0')
epoch: 84, lr: 0.01, accuracy: tensor(0.6375, device='cuda:0'), loss: 0.643546998500824, valid accuracy: tensor(0.3553, device='cuda:0')
epoch: 85, lr: 0.01, accuracy: tensor(0.6417, device='cuda:0'), loss: 0.6396636366844177, valid accuracy: tensor(0.7752, device='cuda:0')
epoch: 86, lr: 0.01, accuracy: tensor(0.6361, device='cuda:0'), loss: 0.6193843483924866, valid accuracy: tensor(0.1179, device='cuda:0')
epoch: 87, lr: 0.01, accuracy: tensor(0.6443, device='cuda:0'), loss: 0.6476345658302307, valid accuracy: tensor(0.0959, device='cuda:0')
epoch: 88, lr: 0.01, accuracy: tensor(0.6375, device='cuda:0'), loss: 0.6183807253837585, valid accuracy: tensor(0.4408, device='cuda:0')
epoch: 89, lr: 0.01, accuracy: tensor(0.6336, device='cuda:0'), loss: 0.6443122625350952, valid accuracy: tensor(0.0691, device='cuda:0')
epoch: 90, lr: 0.01, accuracy: tensor(0.6171, device='cuda:0'), loss: 0.6195753216743469, valid accuracy: tensor(0.5669, device='cuda:0')
epoch: 91, lr: 0.01, accuracy: tensor(0.6273, device='cuda:0'), loss: 0.6373447179794312, valid accuracy: tensor(0.2072, device='cuda:0')
epoch: 92, lr: 0.01, accuracy: tensor(0.6372, device='cuda:0'), loss: 0.616968035697937, valid accuracy: tensor(0.1732, device='cuda:0')
epoch: 93, lr: 0.01, accuracy: tensor(0.5956, device='cuda:0'), loss: 0.6284083127975464, valid accuracy: tensor(0.2160, device='cuda:0')
epoch: 94, lr: 0.01, accuracy: tensor(0.6371, device='cuda:0'), loss: 0.634035587310791, valid accuracy: tensor(0.0356, device='cuda:0')
epoch: 95, lr: 0.01, accuracy: tensor(0.6363, device='cuda:0'), loss: 0.6473140120506287, valid accuracy: tensor(0.3657, device='cuda:0')
epoch: 96, lr: 0.01, accuracy: tensor(0.6129, device='cuda:0'), loss: 0.6370226740837097, valid accuracy: tensor(0.4572, device='cuda:0')
epoch: 97, lr: 0.01, accuracy: tensor(0.6429, device='cuda:0'), loss: 0.6141284108161926, valid accuracy: tensor(0.2111, device='cuda:0')
